class_id,class_name,precision,recall,f1,support
311,más,0.0000,0.0000,0.0000,1
312,más-o-menos,0.0000,0.0000,0.0000,1
313,músculo,0.0000,0.0000,0.0000,1
314,nada,0.0000,0.0000,0.0000,0
315,necesidad,0.0000,0.0000,0.0000,1
316,necesita,0.0000,0.0000,0.0000,1
317,necesitar,0.0000,0.0000,0.0000,2
318,niveles,0.0000,0.0000,0.0000,0
319,niño,0.3333,0.6667,0.4444,3
320,niños,0.0000,0.0000,0.0000,1
321,no,0.0000,0.0000,0.0000,6
322,noche,0.0000,0.0000,0.0000,0
323,nombre,0.0000,0.0000,0.0000,1
324,norma,0.0000,0.0000,0.0000,1
325,normal,0.0000,0.0000,0.0000,0
326,nosotros,0.0000,0.0000,0.0000,1
327,nuev,0.0000,0.0000,0.0000,0
328,nueve,0.0000,0.0000,0.0000,1
329,nuevo,0.0000,0.0000,0.0000,0
330,o,0.0000,0.0000,0.0000,2
331,objetivo,0.0000,0.0000,0.0000,1
332,ocho,0.0000,0.0000,0.0000,0
333,ok,0.0000,0.0000,0.0000,0
334,olvidar,0.0000,0.0000,0.0000,0
335,orden,0.0000,0.0000,0.0000,0
336,otro,0.0000,0.0000,0.0000,1
337,paciencia,0.0000,0.0000,0.0000,1
338,padre,0.0000,0.0000,0.0000,0
339,pagar,0.0000,0.0000,0.0000,0
340,papa,0.0000,0.0000,0.0000,0
341,papas-fritas,0.0000,0.0000,0.0000,0
342,papá,0.0000,0.0000,0.0000,1
343,parte,0.0000,0.0000,0.0000,0
344,participar,0.0000,0.0000,0.0000,0
345,pasado,0.0000,0.0000,0.0000,1
346,pedir,0.0000,0.0000,0.0000,1
347,pedirte,0.0000,0.0000,0.0000,0
348,pelea,0.0000,0.0000,0.0000,0
349,pelear,0.0000,0.0000,0.0000,1
350,pensar,0.0000,0.0000,0.0000,7
351,perder,0.0000,0.0000,0.0000,0
352,perfecto,0.0000,0.0000,0.0000,1
353,pero,0.0000,0.0000,0.0000,2
354,persona,1.0000,0.5000,0.6667,2
355,pesar,0.0000,0.0000,0.0000,1
356,pescado,0.0000,0.0000,0.0000,0
357,pie,0.0000,0.0000,0.0000,0
358,pintar,0.0000,0.0000,0.0000,1
359,planta,0.6667,1.0000,0.8000,2
360,plantarse,0.0000,0.0000,0.0000,0
361,poco,0.0000,0.0000,0.0000,0
362,poder,0.0000,0.0000,0.0000,1
363,pollo,0.0000,0.0000,0.0000,2
364,poner,0.0000,0.0000,0.0000,0
365,por,0.0000,0.0000,0.0000,0
366,por-qué,0.0000,0.0000,0.0000,0
367,porcentaje,0.5000,0.9091,0.6452,11
368,porción,0.0000,0.0000,0.0000,1
369,positivo,0.0000,0.0000,0.0000,0
370,posterior,0.0000,0.0000,0.0000,0
371,practicar,0.0000,0.0000,0.0000,1
372,precisa,0.0000,0.0000,0.0000,0
373,pregunta,0.0000,0.0000,0.0000,1
374,preguntar,0.0000,0.0000,0.0000,1
375,preguntas,0.0000,0.0000,0.0000,1
376,pregunto,0.0000,0.0000,0.0000,0
377,preocupar,0.0000,0.0000,0.0000,0
378,presa,0.0000,0.0000,0.0000,0
379,presidente,0.0000,0.0000,0.0000,0
380,priimero,0.0000,0.0000,0.0000,0
381,primaria,0.0000,0.0000,0.0000,1
382,primero,0.0000,0.0000,0.0000,1
383,primo,0.0000,0.0000,0.0000,1
384,probar,0.5000,1.0000,0.6667,1
385,problema,0.0000,0.0000,0.0000,0
386,proceso,0.0000,0.0000,0.0000,1
387,profesor,0.0000,0.0000,0.0000,2
388,profesora,0.0000,0.0000,0.0000,0
389,propia,0.0000,0.0000,0.0000,0
390,proteina,0.0000,0.0000,0.0000,0
391,proteína,0.5000,0.6250,0.5556,8
392,proteínas,0.3333,0.5000,0.4000,2
393,próxima,0.0000,0.0000,0.0000,1
394,pubertad,0.0000,0.0000,0.0000,0
395,que,0.0000,0.0000,0.0000,1
396,querer,0.0000,0.0000,0.0000,1
397,queso,0.0000,0.0000,0.0000,0
398,quien,0.0000,0.0000,0.0000,1
399,quinto,0.0000,0.0000,0.0000,2
400,quinua,0.0000,0.0000,0.0000,0
401,quién,0.0000,0.0000,0.0000,1
402,qué,1.0000,0.3333,0.5000,3
403,qué?,0.0000,0.0000,0.0000,0
404,quë??,0.0000,0.0000,0.0000,0
405,razón,0.0000,0.0000,0.0000,1
406,reconocer,0.0000,0.0000,0.0000,0
407,recordar,1.0000,0.3333,0.5000,3
408,recuerdas,0.0000,0.0000,0.0000,0
409,recuerdo,0.0000,0.0000,0.0000,0
410,reducir,0.0000,0.0000,0.0000,1
411,regla,0.0000,0.0000,0.0000,1
412,relación,0.0000,0.0000,0.0000,1
413,relajar,0.0000,0.0000,0.0000,1
414,resolver,0.0000,0.0000,0.0000,1
415,respetar,0.0000,0.0000,0.0000,0
416,respiración,0.0000,0.0000,0.0000,0
417,restar,0.0000,0.0000,0.0000,1
418,rociar,0.0000,0.0000,0.0000,0
419,saber,0.0000,0.0000,0.0000,3
420,sacar,0.0000,0.0000,0.0000,0
421,sal,0.0000,0.0000,0.0000,0
422,salud,0.0000,0.0000,0.0000,1
423,saludable,0.0000,0.0000,0.0000,0
424,saludable?,0.0000,0.0000,0.0000,0
425,seco,0.0000,0.0000,0.0000,1
426,seguir,0.0000,0.0000,0.0000,1
427,segundo,0.0000,0.0000,0.0000,0
428,seguro,0.0000,0.0000,0.0000,1
429,seis,0.0000,0.0000,0.0000,1
430,seleccionar,0.0000,0.0000,0.0000,1
431,semana,0.0000,0.0000,0.0000,1
432,sembrar,0.0000,0.0000,0.0000,0
